Section,Trigger Words,Excerpt,Suggested Loophole,Usefulness
1.5,['required'],"1.5 
New systems or technologies 
Any new system, procedure or technology not specifically covered by these regulations, but 
which is deemed permissible by the FIA Formula One Technical Department, will only be 
admitted until the end of the Championship during which it is introduced. Following thi",Design adaptive aero parts that deform only above 250 km/h.,Medium
3.1.3,['flow'],"3.1.3 
External air stream 
The flow of air around the car which has a primary impact on its aerodynamic performance.",Design adaptive aero parts that deform only above 250 km/h.,Medium
3.1.10,['flow'],"3.1.10 Aerodynamic seal 
The function by which the flow between two regions of different pressure is kept to the 
minimum feasible magnitude.",Reduce cooling aperture under 'minimal required' wording.,Medium
Article 3,['required'],"Article 3 is to enable cars to race closely, by 
ensuring that the aerodynamic performance loss of a car following another car is kept to a 
minimum. In order to verify whether this objective has been achieved, Competitors may be 
required on request to supply the FIA with any relevant information. ",Reduce cooling aperture under 'minimal required' wording.,Low
Article 3.10.10,['minimal'],"Article 3.10.10 (in addition to minimal parts solely associated with its actuation) 
and the flexible seals specifically permitted by Articles 3.13 and 3.14.4, all aerodynamic 
components or bodywork influencing the car’s aerodynamic performance must be rigidly 
secured and immobile with respect to ",Exploit temperature-sensitive coatings that soften under load testing.,Impractical
Article 3,['Minimal'],"Article 3 will also refer to the one side of the car. 
Minimal exceptions to the requirement of symmetry of this Article will be accepted for the 
installation of non-symmetrical mechanical components of the car, for asymmetrical cooling 
requirements or for asymmetrical angle adjustment of the fron",Exploit temperature-sensitive coatings that soften under load testing.,Impractical
Article 3.2.4,"['required', 'Minimal']","Article 3.2.4 and to ensure they remain inside the Reference 
Volumes. 
a. 
Unless otherwise specified, a tolerance of ±3mm will be accepted for manufacturing 
purposes only with respect to the CAD surfaces. Where measured surfaces lie outside of 
this tolerance but remain within the Reference Volum",Redirect airflow through brake ducts under loosely defined dimensions.,Low
3.2.6,['required'],"3.2.6 
Datum Points 
All cars must be equipped with mountings for optical targets that enable the car’s datum to 
be determined for scrutineering in the following locations: 
i. 
One on the forward part of the top of the survival cell. 
ii. 
Two positioned symmetrically about Y=0 on the top of the s",Reduce cooling aperture under 'minimal required' wording.,Low
Article 3.15.7,"['minimal', 'required', 'flow']","Article 3.15.7.c. Such features must be the minimal required for applying the loads 
required by that article. 
i.  
All regions of its surface that are visible from above, outboard of Y=500 and forward of 
XF=1700, must be visible from the side. 
Once the surfaces defined as Floor Body have been de",Redirect airflow through brake ducts under loosely defined dimensions.,Medium
Article 13.7,['minimal'],"Article 13.7. If fitted, this stay must: 
i. 
Have its inboard attachment point between XDIF=150 and XDIF=325 on the Rear 
Impact Structure. 
ii. 
Be of a circular cross section with a diameter of no more than 5mm, with the 
exception of minimal details at its inboard and outboard attachment points,",Reduce cooling aperture under 'minimal required' wording.,Medium
