Section,Content,Triggers
1.5,"1.5 
New systems or technologies 
Any new system, procedure or technology not specifically covered by these regulations, but 
which is deemed permissible by the FIA Formula One Technical Department, will only be 
admitted until the end of the Championship during which it is introduced. Following this the 
Formula One Commission will be asked to review the technology concerned and, if they feel 
it adds no value to Formula One in general, it may be specifically prohibited by the FIA. 
Any team whose technology is prohibited in this way will then be required to publish full 
technical details of the relevant system or procedure.",['required']
3.1.3,"3.1.3 
External air stream 
The flow of air around the car which has a primary impact on its aerodynamic performance.",['flow']
3.1.10,"3.1.10 Aerodynamic seal 
The function by which the flow between two regions of different pressure is kept to the 
minimum feasible magnitude.",['flow']
Article 3,"Article 3 is to enable cars to race closely, by 
ensuring that the aerodynamic performance loss of a car following another car is kept to a 
minimum. In order to verify whether this objective has been achieved, Competitors may be 
required on request to supply the FIA with any relevant information. 
2025 Formula 1 Technical Regulations 
13 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2 
 
In any case the Intellectual Property of this information, will remain the property of the 
Competitor, will be protected and not divulged to any third party.",['required']
Article 3.10.10,"Article 3.10.10 (in addition to minimal parts solely associated with its actuation) 
and the flexible seals specifically permitted by Articles 3.13 and 3.14.4, all aerodynamic 
components or bodywork influencing the car’s aerodynamic performance must be rigidly 
secured and immobile with respect to their frame of reference defined in",['minimal']
Article 3,"Article 3 will also refer to the one side of the car. 
Minimal exceptions to the requirement of symmetry of this Article will be accepted for the 
installation of non-symmetrical mechanical components of the car, for asymmetrical cooling 
requirements or for asymmetrical angle adjustment of the front flap defined in",['Minimal']
Article 3.2.4,"Article 3.2.4 and to ensure they remain inside the Reference 
Volumes. 
a. 
Unless otherwise specified, a tolerance of ±3mm will be accepted for manufacturing 
purposes only with respect to the CAD surfaces. Where measured surfaces lie outside of 
this tolerance but remain within the Reference Volumes, a Competitor may be required 
to provide additional information (e.g. revised CAD geometry) to demonstrate 
2025 Formula 1 Technical Regulations 
14 
26 February 2025 
© 2025 Fédération Internationale de l’Automobile 
 
Issue 2 
 
compliance with the regulations. Any discrepancies contrived to create a special 
aerodynamic effect or surface finish will not be permitted. 
b. Irrespective of a), geometrical discrepancies at the limits of the Reference Volumes 
must be such that the measured component remains inside the Reference Volume. 
c. 
A positional tolerance of +/- 2mm will be accepted for the Front Wing Bodywork, Rear 
Wing Bodywork, Exhaust Tailpipe, Floor Bodywork behind XR=0, and","['required', 'Minimal', 'Minimal']"
3.2.6,"3.2.6 
Datum Points 
All cars must be equipped with mountings for optical targets that enable the car’s datum to 
be determined for scrutineering in the following locations: 
i. 
One on the forward part of the top of the survival cell. 
ii. 
Two positioned symmetrically about Y=0 on the top of the survival cell close to XB=0. 
iii. Two positioned symmetrically about Y=0 on the side of the survival cell close to XB=0. 
iv. Two positioned symmetrically about Y=0 on the side of the survival cell close to the rear 
mounts of the secondary roll structure. 
v. 
Two positioned symmetrically about Y=0 within an axis-aligned cuboid with an interior 
diagonal defined by points [XC=0, 175, 970] and [XC=150, -175, 870].  
vi. One probed point on the RIS or gearbox case. 
In all cases, a file with required datum points must be supplied for each survival cell. 
For deflection testing, all cars must be provided with a means of mounting a reference 
artefact to the RIS. This mounting may be temporary,",['required']
Article 3.15.7,"Article 3.15.7.c. Such features must be the minimal required for applying the loads 
required by that article. 
i.  
All regions of its surface that are visible from above, outboard of Y=500 and forward of 
XF=1700, must be visible from the side. 
Once the surfaces defined as Floor Body have been defined in accordance to the provisions of 
parts (a) to (i), it is permitted to attach additional bodywork to the surface of the Floor Body 
for the purpose of aiding local flow attachment. These items, which need not comply with 
parts (a) to (i), will nevertheless be considered part of the Floor Body and must: 
j. 
Be entirely within 10mm of the surface of the Floor Body that is visible from below. 
k. 
Be entirely within 100mm of the car centre plane and rearward of XR= -550. 
l. 
Collectively lie in a region no greater than 50mm when measured in the X-direction. 
The requirements of parts (e), (g) and (h) must be satisfied when considering both sides of 
the car.","['minimal', 'required', 'required', 'flow']"
Article 13.7,"Article 13.7. If fitted, this stay must: 
i. 
Have its inboard attachment point between XDIF=150 and XDIF=325 on the Rear 
Impact Structure. 
ii. 
Be of a circular cross section with a diameter of no more than 5mm, with the 
exception of minimal details at its inboard and outboard attachment points, or for 
adjustment purposes. 
b. A single device between the Front Floor Structure and the Survival Cell. If fitted, all 
parts of this device in contact with the external airstream must: 
i. 
Be fully within RV-BIB-STAY and be symmetrically arranged about Y=0. 
ii. 
In any Z-plane contain only one closed section. 
c. 
A single stay per side to act as a support between the Floor Bodywork ahead of XR=0. 
This stay may be designed to only take load in tension. If fitted, this stay must: 
i. 
Be entirely between XR=-850 and XR=0 
ii. 
Have its outboard attachment on the Floor Bodywork. 
iii. Have its inboard attachment on the entirely sprung part of the car. 
iv. Be of a circular cross section","['minimal', 'minimal']"
